employee_id,first_name,last_name,ssn,email,department_id,hire_date,salary,is_active
1,Harry,Mason,757-41-5089,codythompson@example.net,1,2026-02-04,67450,True
2,Carrie,Cortez,543-28-3579,joan05@example.com,1,2024-08-19,57926,True
3,Leah,Johnson,641-54-9311,debbie71@example.net,3,2024-08-10,69715,True
4,Steven,Tyler,658-03-5889,gibsonwilliam@example.com,2,2023-06-26,82845,True
5,Henry,Clark,730-07-8681,teresashepard@example.net,2,2022-11-15,56487,True
6,James,Simmons,819-94-4546,coffeyrodney@example.org,2,2025-05-05,56487,True
7,Julie,Collins,383-65-2234,haynesphillip@example.net,1,2021-09-07,83688,True
8,Dominique,Campbell,325-96-8578,denise39@example.com,5,2022-11-06,71511,True
9,Amber,Peterson,889-66-0195,tiffany23@example.net,1,2022-04-05,52957,True
10,Jennifer,Levy,578-24-6558,mary23@example.org,5,2022-01-31,68138,True
11,Patricia,Rogers,,rebecca69@example.net,4,2021-07-04,53048,True
12,Hector,Campbell,630-93-0581,markwilliams@example.com,1,2023-06-08,53014,True
13,Teresa,Franklin,005-25-5552,carmen91@example.com,1,2022-11-23,63629,True
14,Lindsay,Dickerson,376-02-2237,dianalong@example.com,1,2023-08-28,31300,True
15,Marie,Owens,667-19-6736,prattdavid@example.net,2,2024-09-14,34126,True
16,Tyler,Robinson,821-01-1420,josephstokes@example.net,2,2023-01-14,51565,True
17,Kelsey,Jordan,216-04-0591,deanjohn@example.net,5,2021-05-01,44807,True
18,Allen,Gutierrez,040-74-9994,julierodriguez@example.org,5,2022-01-25,64713,True
19,Patricia,Charles,501-36-9334,fowlerandrew@example.org,1,2022-04-30,46379,True
20,Joy,Murphy,876-76-5840,wendydominguez@example.net,5,2026-01-12,38815,True
21,Randy,Gutierrez,201-66-5202,rreid@example.com,2,2021-09-03,81984,True
22,Douglas,Harmon,403-32-5719,wendy86@example.org,5,2025-09-24,56613,True
23,Tracey,Rasmussen,176-13-6825,randallallison@example.net,4,2026-02-26,61012,True
24,Jack,Stevens,218-08-2237,lauracook@example.net,2,2025-08-11,38628,True
25,Donna,Bailey,135-82-5233,mackallen@example.org,4,2023-05-04,51834,True
26,Michael,Raymond,245-72-8689,denise29@example.net,5,2026-02-13,61663,True
27,Robert,Anderson,750-44-3192,betty69@example.org,3,2025-05-18,42735,True
28,Shane,Stout,695-65-0906,hornaaron@example.net,1,2025-12-22,65635,True
29,Jessica,Jones,068-51-4765,rwells@example.com,2,2023-08-01,50990,True
30,Kenneth,Hatfield,560-28-6340,kiaralove@example.org,4,2024-09-22,55624,True
31,Andrew,Murphy,532-54-0661,brittney67@example.com,3,2021-11-16,50974,True
32,Tonya,Gray,896-76-2756,timothy57@example.net,3,2022-07-17,87784,True
33,Christina,Nielsen,706-59-6315,ilawson@example.com,2,2024-02-19,59797,True
34,Christina,Bishop,091-88-5038,ybarton@example.com,2,2025-02-27,44134,True
35,Michelle,Wolf,850-11-7574,holmesmichael@example.org,3,2025-06-13,72338,True
36,Stephanie,Moore,495-15-3454,angela88@example.net,1,2021-05-19,41687,True
37,Sandra,Ramirez,168-75-7982,emmatravis@example.org,1,2023-03-28,63132,True
38,Joseph,Joseph,592-93-6886,sarahwilliams@example.org,4,2022-01-15,30604,True
39,Meagan,Hall,855-10-2988,grayjodi@example.com,1,2025-11-23,40077,True
40,Stephen,Miller,061-27-7803,hnelson@example.net,3,2023-05-11,62952,True
41,Cory,Evans,862-82-2947,tammy42@example.net,3,2024-02-03,71076,True
42,Katherine,Woods,525-93-8016,yolandamejia@example.org,5,2023-11-29,62570,True
43,Kaitlin,Anderson,862-86-7867,ibeck@example.org,3,2026-02-05,58265,True
44,Tyler,Sutton,574-20-2036,lisa40@example.org,1,2022-01-28,55483,True
45,Joe,Roberts,654-18-0157,rodriguezelizabeth@example.com,4,2024-02-14,37822,True
46,Kristin,Norman,260-51-2663,david48@example.com,5,2023-03-10,49202,True
47,Alexander,Smith,329-85-6156,ebony19@example.org,1,2023-12-15,53090,True
48,Frank,Clark,458-94-5258,smithsamantha@example.com,4,2023-01-15,75856,True
49,Sharon,Ryan,419-22-4472,kpark@example.net,1,2022-11-03,65154,True
50,Teresa,Barry,535-37-8257,adam75@example.org,5,2022-02-19,33554,True
